Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2021-06-16,54,1557,502,0,1814,4791,556,50,514,0
2021-06-17,38,1572,433,0,1805,4634,487,44,508,0
2021-06-18,56,1439,418,0,1761,4494,513,48,427,0
2021-06-19,44,1411,427,0,1491,4832,477,39,475,0
2021-06-20,36,1301,429,0,1543,4293,499,29,452,0
2021-06-21,52,1630,492,0,1890,4741,509,36,493,0
2021-06-22,52,1654,519,0,1933,4643,554,52,479,0
2021-06-23,46,1635,431,0,1957,4568,539,44,510,0
2021-06-24,46,1603,434,0,1890,4612,486,42,476,0
2021-06-25,37,1477,435,0,1773,4585,451,22,467,1
2021-06-26,41,1303,449,0,1651,4108,506,13,470,0
2021-06-27,42,1347,339,0,1616,4385,496,36,460,1
2021-06-28,47,1567,455,0,2990,4776,570,35,526,0
2021-06-29,40,1691,536,0,2243,4835,524,26,457,0
2021-06-30,52,1646,497,1,2102,4888,582,39,542,0
2021-07-01,55,1671,619,0,2052,4990,756,65,701,0
2021-07-02,49,1526,463,0,1976,4637,594,32,560,0
2021-07-03,33,1444,459,0,1660,4401,640,28,549,0
2021-07-04,46,1344,525,1,1495,4576,580,29,533,3
2021-07-05,50,1516,474,0,1753,5133,706,38,607,0
2021-07-06,55,1685,503,0,1920,5240,758,37,762,0
2021-07-07,52,1627,497,0,2010,5168,732,38,796,0
2021-07-08,61,1563,454,0,1991,5085,693,38,747,0
2021-07-09,49,1472,424,0,1994,5122,669,30,740,0
2021-07-10,45,1291,464,0,1748,4772,636,30,560,0
2021-07-11,33,1282,377,1,1643,4559,584,26,575,0
2021-07-12,39,1556,533,0,2054,5253,671,29,676,0
2021-07-13,50,1585,536,0,2071,5441,708,30,654,0
2021-07-14,49,1571,602,0,2096,4864,667,30,551,0
2021-07-15,41,1525,563,0,1952,4976,631,36,553,0
2021-07-16,25,1416,554,0,1827,4804,590,24,506,0
2021-07-17,51,1352,408,0,1849,4454,615,21,483,1
2021-07-18,32,1411,489,0,1620,4298,638,18,504,0
2021-07-19,48,1547,498,0,1782,4873,693,23,577,0
2021-07-20,55,1679,494,0,2054,4824,624,20,514,0
2021-07-21,47,1791,416,0,2133,4820,675,36,552,0
2021-07-22,55,1639,479,0,2125,5283,700,26,552,0
2021-07-23,53,1766,482,0,1755,5247,694,25,561,0
2021-07-24,51,1480,435,0,1654,5130,573,17,472,0
2021-07-25,50,1525,488,0,1781,5464,623,39,503,1
2021-07-26,61,1647,501,1,1909,5500,645,25,638,1
2021-07-27,66,1714,581,0,1983,5374,684,30,577,0
2021-07-28,56,1801,572,1,2091,5194,639,26,599,0
2021-07-29,71,1667,477,0,1996,5196,619,31,491,0
2021-07-30,43,1586,484,0,1933,5076,640,31,552,1
2021-07-31,47,1426,397,0,1766,5035,652,34,477,0
2021-08-01,54,1463,619,0,1713,5199,576,24,559,0
2021-08-02,55,1722,531,0,2120,5397,690,29,543,0
2021-08-03,66,1938,552,0,2269,5533,665,40,581,2
2021-08-04,51,1936,565,0,1978,5217,615,32,534,2
2021-08-05,62,2172,448,0,2032,5648,608,18,580,1
2021-08-06,64,1754,462,0,2000,5411,683,13,562,0
2021-08-07,60,1582,419,0,1701,5330,591,29,446,0
2021-08-08,68,1650,515,0,1705,5818,574,22,607,0
2021-08-09,62,1914,517,0,1917,6107,677,26,679,0
2021-08-10,77,1962,498,0,2075,6032,693,22,629,0
2021-08-11,70,1854,531,0,2069,5823,684,32,619,0
2021-08-12,69,1744,523,0,2036,5572,608,32,636,1
2021-08-13,63,1609,504,0,1958,5421,644,14,570,0
2021-08-14,59,1521,427,0,1751,5506,568,26,488,0
