Date,"Acute exacerbation of chronic obstructive pulmonary disease","Paracetamol","1580 influenza pandemic","Spanish flu","2017–2018 United States flu season","2007 Bernard Matthews H5N1 outbreak","2006 H5N1 outbreak in India","2008 H5N1 outbreak in West Bengal","Antigen","1977 Russian flu"
2017-06-15,301,4974,0,136,0,8,9,5,1167,0
2017-06-16,265,4696,0,133,0,9,9,5,933,0
2017-06-17,200,4180,0,114,0,5,4,0,731,0
2017-06-18,261,4178,0,118,0,7,11,7,739,0
2017-06-19,336,4676,0,160,0,6,4,3,1062,0
2017-06-20,280,4867,0,147,0,14,4,3,1207,0
2017-06-21,303,4984,0,211,0,6,10,2,1115,0
2017-06-22,296,4941,0,268,0,11,5,0,959,0
2017-06-23,220,4728,0,130,0,7,8,1,849,0
2017-06-24,229,4254,0,146,0,6,7,6,725,0
2017-06-25,202,4191,0,126,0,6,7,0,720,0
2017-06-26,277,4840,0,205,0,7,5,4,959,0
2017-06-27,274,4997,0,151,0,15,7,3,1023,0
2017-06-28,252,5973,0,197,0,5,13,3,1053,0
2017-06-29,295,5083,0,124,0,15,6,4,1048,0
2017-06-30,245,4585,0,126,0,5,1,1,800,0
2017-07-01,191,4040,0,146,0,5,12,4,607,0
2017-07-02,230,4578,0,179,0,6,3,3,671,0
2017-07-03,300,5081,0,176,0,12,5,3,879,0
2017-07-04,239,4822,0,133,0,17,6,4,953,0
2017-07-05,283,5062,0,179,0,7,5,3,1030,0
2017-07-06,308,5495,0,260,0,7,4,2,977,0
2017-07-07,242,4989,0,152,0,4,13,2,889,0
2017-07-08,200,4395,0,146,0,4,13,4,699,0
2017-07-09,247,4653,0,159,0,8,11,6,835,0
2017-07-10,359,5242,0,232,0,2,8,9,1167,0
2017-07-11,309,5337,0,131,0,14,9,2,1117,0
2017-07-12,258,5137,0,190,0,7,8,1,1200,0
2017-07-13,294,5025,0,186,0,11,11,3,1052,0
2017-07-14,223,4714,0,143,0,4,5,3,840,0
2017-07-15,225,4392,0,126,0,10,12,6,705,0
2017-07-16,214,4679,0,147,0,8,14,5,819,0
2017-07-17,229,4936,0,123,0,7,9,2,1022,0
2017-07-18,276,5249,0,129,0,9,9,3,1118,0
2017-07-19,727,5225,0,171,0,5,7,3,1090,0
2017-07-20,261,5034,0,135,0,10,9,4,986,0
2017-07-21,293,4681,0,145,0,9,13,5,830,0
2017-07-22,210,4460,0,179,0,5,5,2,749,0
2017-07-23,222,5627,0,151,0,7,8,5,798,0
2017-07-24,408,5042,0,147,0,14,6,4,971,0
2017-07-25,477,5297,0,135,0,9,10,3,1067,0
2017-07-26,424,5268,0,147,0,9,6,3,1098,0
2017-07-27,360,5102,0,137,0,8,7,4,1074,0
2017-07-28,384,4780,0,148,0,4,11,4,900,0
2017-07-29,187,4553,0,126,0,7,4,1,778,0
2017-07-30,241,4445,0,141,0,8,8,2,759,0
2017-07-31,262,5014,0,183,0,14,9,1,989,0
2017-08-01,268,5128,0,147,0,16,11,7,1118,0
2017-08-02,274,5087,0,157,0,4,13,6,1107,0
2017-08-03,337,5367,0,137,0,8,5,4,942,0
2017-08-04,271,4732,0,170,0,8,8,5,878,0
2017-08-05,177,4271,0,133,0,6,8,6,691,0
2017-08-06,224,4463,0,138,0,10,10,6,687,0
2017-08-07,295,4901,0,152,0,7,15,8,923,0
2017-08-08,336,5151,0,164,0,3,16,2,1071,0
2017-08-09,313,5296,0,157,0,8,15,3,1046,0
2017-08-10,236,5067,0,152,0,13,11,3,1028,0
2017-08-11,226,4811,0,154,0,11,4,4,854,0
